,titulo,link,Marca,Linha,Modelo,Memória interna,Memória RAM,Com ranhura para cartão de memória,Capacidade máxima do cartão de memória,Nome do sistema operacional,Versão original do sistema operacional,Última versão compatível do sistema operacional,Camada original de personalização do sistema operacional,Última camada compatível de personalização do sistema operacional,Resolução da câmera traseira principal,Resolução de vídeo da câmera traseira,Resolução da câmera frontal principal,Com câmera,Quantidade de câmeras traseiras,Resolução das câmeras traseiras,Abertura do diafragma da câmera traseira,Quantidade de câmeras frontais,Resolução de vídeo da câmera frontal,Abertura do diafragma da câmera frontal,Com flash na câmara frontal,Zoom óptico,Zoom digital,Com teclado QWERTY físico,É resistente a salpicos,É resistente à água,É à prova d'água,É resistente ao pó,Classificação IP,Modelo do processador,Modelos de CPU,Quantidade de núcleos do processador,Velocidade do processador,Com acelerômetro,Com sensor de proximidade,Com giroscópio,Com bússola,Com barômetro,É Dual SIM,Quantidade de ranhuras para cartão SIM,Tamanhos de cartão SIM compatíveis,Com eSIM,Mês de lançamento,Ano de lançamento,Peso,Tamanho da tela,Tipo de resolução da tela,Resolução da tela,Tecnologia da tela,Tipo de tela,Pixels por polegada,Brilho máximo da tela,Com tela tátil,Capacidade da bateria,Tipo de bateria,Com carregamento rápido,Com carregamento sem fio,Com bateria removível,Autonomia em standby,Autonomia de conversação,Com leitor de impressão digital,Com reconhecimento facial,Altura x Largura x Profundidade,Rede,Tipo de conector de carregamento,Com conector USB,Com jack 3.5,Com Wi-Fi,Com GPS,Com Bluetooth,Com NFC,Com mini HDMI,Com radio,Com sintonizador de TV,Com IMEI,Operadora,Inclui lápis,descricao,Quantidade de eSIMs,Proporção da tela,Modelo de GPU,Com sensor de frequência cardíaca,Características principais das câmeras,Taxa de atualização da tela,É resistente a quedas,Versão,Modelo detalhado,Tipos de cartão de memória,Edição do sistema operacional,Tipos de câmeras traseiras,Tipos de câmeras frontais,Resolução das câmeras frontais,Com reconhecimento de mão,Com reconhecimento de íris,Origem,Com tela dobrável,Resolução da tela dobrada,Proporção da tela dobrada,Resolução da tela dobrada secundária,Proporção da tela dobrada secundária,Tecnologia da tela secundária,Resolução da tela secundária,Proporção da tela secundária,Com tela secundária tátil,É kit,Altura x Largura,Cor,Pixels por polegada da tela dobrada,Pixels por polegada da tela secundária,Brilho máximo da tela secundária,Zoom híbrido
0,iPhone XS 256 Gb Cinza-espacial,https://produto.mercadolivre.com.br/MLB-1836540753-iphone-xs-256-gb-cinza-espacial-_JM,Apple,iPhone,iPhone XS,256 GB,4 GB,Não,512 GB,iOS,12,14,MIUI 12,MIUI 12,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,2,12 Mpx/12 Mpx,f 1.8/f 2.4,1,1920 px x 1080 px,f 2.2,Não,2x,10x,Não,Sim,Sim,Não,Sim,IP68,Apple A12 Bionic,"2x2.5 GHz Vortex,4x1.6 GHz Tempest",6,2.5 GHz,Sim,Sim,Sim,Sim,Sim,Não,1,Nano-SIM,Não,Setembro,2018,177 g,"5.8 """,Full HD+,1125 px x 2436 px,OLED,DotDisplay,458 ppi,625 cd/m²,Sim,2658 mAh,Íon de lítio,Sim,Sim,Não,240 h,20 h,Não,Sim,143.6 mm x 70.9 mm x 7.7 mm,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Não,"iPhone XS 256 usado - *NAO acompanha carregador nem cabo* Inclui: Caixa, manual e adesivos + 2 Películas novas de vidro temperado, 9h de resistência, ultra fino, mais a pelicula que esta nele atualmente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,iPhone 12 Pro Max 256 Gb Azul-pacífico + Case Couro Apple,https://produto.mercadolivre.com.br/MLB-1769540373-iphone-12-pro-max-256-gb-azul-pacifico-case-couro-apple-_JM,Apple,iPhone,iPhone 12 Pro Max,256 GB,6 GB,Não,512 GB,iOS,14,14,MIUI 12,MIUI 12,12 Mpx,3840 px x 2160 px,12 Mpx,Sim,3,12 Mpx/12 Mpx/12 Mpx,f 1.6/f 2.2/f 2.4,1,3840 px x 2160 px,f 2.2,Não,5x,12x,Não,Sim,Sim,Não,Sim,IP68,Apple A14 Bionic,,6,3 GHz,Sim,Sim,Sim,Sim,Sim,Não,1,Nano-SIM,Sim,Novembro,2020,228 g,"6.7 """,Full HD+,1284 px x 2778 px,OLED,DotDisplay,458 ppi,1200 cd/m²,Sim,3687 mAh,Íon de lítio,Sim,Sim,Não,,,,Sim,160.8 mm x 78.1 mm x 7.4 mm,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,,Não,,Sim,Desbloqueado,,"Pouco uso, nenhuma marca ou arranhão. Perfeito. Acompanha case de couro original apple na cor azul + película de vidro. Garantia até dezembro de 2021",1,19.5 - 9,Apple GPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,iPhone 6s Plus Rosê,https://produto.mercadolivre.com.br/MLB-1785501922-iphone-6s-plus-ros-_JM,Apple,iPhone,iPhone,16 GB,128 MB,Não,,iOS,1,,MIUI 12,,2 Mpx,,,Sim,1,12 Mpx/12 Mpx,,,,,,,,Não,Não,,Não,Sim,IP67,Samsung S5L8900,1x412 MHz ARM11,1,412 MHz,Sim,Sim,Sim,,Sim,Não,1,Mini-SIM,Não,,2007,135 g,"3.5 """,Full HD+,320 px x 480 px,IPS,Dot Drop Display,163 ppi,500 cd/m²,Sim,1400 mAh,Íon de lítio,,Sim,Não,250 h,8 h,Não,Não,115 mm x 61 mm x 11.6 mm,2G,Lightning,Não,,Sim,Não,Sim,,Não,Não,Não,Sim,Desbloqueado,,iPhone 6s Plus sem marca trincado somente na película Bateria 88% cor rosê  16gb,,20 - 9,PowerVR MBX Lite,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,iPhone 6 Plus 128 Gb Cinza-espacial  - O Produto É Novo !!,https://produto.mercadolivre.com.br/MLB-1761138467-iphone-6-plus-128-gb-cinza-espacial-o-produto-e-novo--_JM,Apple,iPhone,iPhone 6 Plus,128 GB,1 GB,Não,,iOS,8,,MIUI 12,,8 Mpx,1920 px x 1080 px,1.2 Mpx,Sim,1,12 Mpx/12 Mpx,f 2.2,,1280 px x 720 px,,Não,,3x,Não,Não,,Não,Sim,IP67,Apple A8,2x1.4 GHz Typhoon,2,1.4 GHz,Sim,Sim,Sim,,Sim,Não,1,Nano-SIM,Não,Setembro,,172 g,"5.5 """,Full HD+,1080 px x 1920 px,IPS,Dot Drop Display,401 ppi,500 cd/m²,Sim,2915 mAh,Íon de lítio,,Sim,Não,384 h,24 h,Sim,Não,158.1 mm x 77.8 mm x 7.1 mm,4G/LTE,Lightning,Sim,,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,,"Iphone importado. Aparelho vem novo, na caixa ainda lacrado conforme comprado em lojas. Só dou 30 dias de garantia. Iphne 6 plus 128 Gb + acessórios",,20 - 9,,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,iPhone 8 Plus,https://produto.mercadolivre.com.br/MLB-1792994775-iphone-8-plus-_JM,Apple,iPhone,iPhone 8 Plus,64 GB,3 GB,Não,,iOS,11,14,,,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,2,12 Mpx/12 Mpx,f 1.8/f 2.8,1,1920 px x 1080 px,f 2.2,Não,2x,10x,Não,Sim,Sim,Não,Sim,IP67,Apple A11 Bionic,"2x2.4 GHz Monsoon,4x1.6 GHz Mistral",6,2.4 GHz,Sim,Sim,Sim,Sim,Sim,Não,1,Nano-SIM,Não,Setembro,2017,202 g,"5.5 """,HD,1080 px x 1920 px,IPS,Retina,401 ppi,625 cd/m²,Sim,2691 mAh,Íon de lítio,Sim,Sim,Não,240 h,21 h,Sim,,158.4 mm x 78.1 mm x 7.5 mm,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,,"iPhone 8 Plus semi novo em bom estado, acompanha carregador,fone",,,Apple GPU,Não,"Portrait mode,Portrait Lighting with five effects (Natural,Studio,Contour,Stage,Stage Mono),Optical image stabilization,Sixelement lens,LED True Tone flash with Slow Sync,Panorama (up to 63MP),Live Photos with stabilization,Wide color captu...",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Smartphone iPhone 8 Plus 64bg Lacrado  (Recondicionado),https://produto.mercadolivre.com.br/MLB-1839387904-smartphone-iphone-8-plus-64bg-lacrado-_JM,Apple,iPhone,iPhone 8 Plus,64 GB,3 GB,Não,64 GB,iOS,11,14,,,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,2,12 Mpx/12 Mpx,f 1.8/f 2.8,1,1920 px x 1080 px,f 2.2,Não,2x,10x,Não,Sim,Sim,Não,Sim,IP67,Apple A11 Bionic,"2x2.4 GHz Monsoon,4x1.6 GHz Mistral",6,2.4 GHz,Sim,Sim,Sim,Sim,Sim,Não,1,Nano-SIM,Não,Setembro,2017,202 g,"5.5 """,HD,1080 px x 1920 px,IPS,Retina,401 ppi,625 cd/m²,Sim,2900 mAh,Íon de lítio,Sim,Sim,Não,240 h,21 h,Sim,,158.4 mm x 78.1 mm x 7.5 mm,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,,"Câmera dupla e mais detalhes Suas 2 câmeras traseiras de 12 Mpx/12 Mpx permitirão que você tire fotos mais detalhadas e obtenha efeitos únicos, como a famosa profundidade rasa do modo retrato de campo. Além disso, o dispositivo possui uma câmera frontal de 12 Mpx para que você possa tirar selfies divertidas ou fazer videochamadas. Melhor desempenho Sua memória RAM de 3 GB permite que seu smartphone funcione sem problemas e sem demora ao executar várias tarefas, jogar jogos ou navegar. Desbloqueio com um toque Graças ao sensor de impressão digital, você poderá acessar a seu telefone com segurança e desbloqueá-lo automaticamente com apenas um toque. Bateria o dia todo Sua bateria 2900 mAh se adapta ao seu estilo de vida e lhe garante energia durante um dia inteiro com uma única carga. Grande capacidade de armazenamento Com sua memória interna de 64 GB você poderá armazenar arquivos e aplicativos grandes sem ter que carregá-los para a nuvem e aproveitar seus momentos off-line para desfrutá-los ao máximo.",,,Apple GPU,,"Portrait mode,Portrait Lighting with five effects (Natural,Studio,Contour,Stage,Stage Mono),Optical image stabilization,Sixelement lens,LED True Tone flash with Slow Sync,Panorama (up to 63MP),Live Photos with stabilization,Wide color captu...",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Seminovo: iPhone 8 Plus 64gb Ouro Tela 5.5  Câmera 12mp-delu,https://produto.mercadolivre.com.br/MLB-1840469413-seminovo-iphone-8-plus-64gb-ouro-tela-55-cmera-12mp-delu-_JM,Apple,iPhone,iPhone 8 Plus,64 GB,3 GB,Não,,iOS,11,14,,,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,2,12 Mpx/12 Mpx,f 1.8/f 2.8,1,1920 px x 1080 px,f 2.2,Não,2x,10x,Não,Sim,Sim,Não,Sim,IP67,Apple A11 Bionic,"2x2.4 GHz Monsoon,4x1.6 GHz Mistral",6,2.4 GHz,Sim,Sim,Sim,Sim,Sim,Não,1,Nano-SIM,Não,Setembro,2017,202 g,"5.5 """,HD,1080 px x 1920 px,IPS,Retina,401 ppi,625 cd/m²,Sim,2691 mAh,Íon de lítio,Sim,Sim,Não,240 h,10 h,Sim,Não,158.4 mm x 78.1 mm x 7.5 mm,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Não,"PERGUNTAS FREQUENTES: P: O APARELHO JÁ FOI UTILIZADO POR TERCEIROS? R: NÃO, APENAS FOI UTILIZADO EM EXPOSIÇÃO.  P: O APARELHO POSSUI GARANTIA? R: SIM, CASO A GARANTIA APPLE ESTEJA EXPIRADA, OFERECEMOS 03 MESES DE GARANTIA PELA NOSSA LOJA. P: O APARELHO POSSUI MARCAS OU RISCOS? R: SIM, PODE CONTER PEQUENOS SINAIS DE USO POR SE TRATAR DE APARELHO DE EXPOSIÇÃO QUE ESTEVE EM CONTATO DIRETO COM O CLIENTE.  P: QUAL ESTADO DE FUNCIONAMENTO E CONSERVAÇÃO? R: O APARELHO ESTÁ EM PERFEITO ESTADO DE FUNCIONAMENTO E CONSERVAÇÃO.  P: ACOMPANHA TODOS OS ACESSÓRIOS? R: ACOMPANHA FONTE + CABO LIGHTNING, NÃO ACOMPANHA FONES DE OUVIDO. P: OS ACESSÓRIOS SÃO ORIGINAIS? R: NÃO, TODOS OS ACESSÓRIOS SÃO PRIMEIRA LINHA ( SEM GARANTIA ). P: O APARELHO É DESBLOQUEADO? R: SIM, APARELHO DESBLOQUEADO PARA TODAS AS OPERADORAS.  P: FOTOS REAIS DO PRODUTO? R: FOTOS MERAMENTE ILUSTRATIVA DE UM DE NOSSOS PRODUTOS, SÃO DIVERSAS UNIDADES SENDO VENDIDAS EM UM ÚNICO ANÚNCIO. P: CONSIGO PARCELAR NO BOLETO? R: PARCELAMENTO SOMENTE VIA CARTÃO DE CRÉDITO EM ATÉ 12x. P: CONSIGO PARCELAR EM 2 CARTÕES? R: INFELIZMENTE O MERCADO LIVRE SÓ NOS DISPONIBILIZA UMA FORMA DE PAGAMENTO! P: POSSUI NOTA FISCAL? R: PODEMOS EMITIR NOTA FISCAL, PORÉM VAI COMO UM PRODUTO USADO E NÃO UM PRODUTO NOVO.  P: QUAL A SAÚDE DA BATERIA? R: SAÚDE DA BATERIA EM MÉDIA DE 85% À 100% Características Sistema Operacional iOS Tela Tamanho: 5,5” Material: Retina Conectividade 4G Capacidade 64 GB* * Parte da memória interna já é utilizada pelo sistema operacional e aplicativos pré-instalados Processador A11 Bionic Processador neural Velocidade do Processador: arquitetura de 64 bits Câmera Traseira 12 MP Resolução de Vídeo: 1920 x 1080 Câmera Frontal 7MP Abertura: F/2.2 Sensor de 1/3” Distância Focal: 32mm Tipo de Chip: Nano (não incluso) Bateria Íons de lítio (não removível) Especificações Técnicas Garantia: 03 meses Itens Inclusos 01 iPhone 8 plus 01 Carregador USB",,,Apple GPU,Não,"Portrait mode,Portrait Lighting with five effects (Natural,Studio,Contour,Stage,Stage Mono),Optical image stabilization,Sixelement lens,LED True Tone flash with Slow Sync,Panorama (up to 63MP),Live Photos with stabilization,Wide color captu...",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"iPhone XR Apple 64gb Preto 6,1 12mp Ios",https://produto.mercadolivre.com.br/MLB-1727516109-iphone-xr-apple-64gb-preto-61-12mp-ios-_JM,Apple,iPhone,iPhone XR,64 GB,3 GB,Não,,iOS,12,14,MIUI 12,MIUI 12,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,1,12 Mpx/12 Mpx,f 1.8,1,1920 px x 1080 px,f 2.2,Não,,5x,Não,Sim,Sim,Não,Sim,IP67,Apple A12 Bionic,"2x2.5 GHz Vortex,4x1.6 GHz Tempest",6,2.5 GHz,Sim,Sim,Sim,Sim,Sim,Não,1,Nano-SIM,Sim,Outubro,2018,194 g,"6.1 """,Full HD+,828 px x 1792 px,IPS,,326 ppi,625 cd/m²,Sim,2942 mAh,Íon de lítio,,Sim,Não,240 h,25 h,Não,Sim,150.9 mm x 75.7 mm x 8.3 mm,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,,"iOS 12, desempenho superior O sistema operacional iOS 12 oferece o dobro da velocidade de abertura de aplicativos do que a versão anterior. Além disso, o Siri Assistant se integra a aplicativos de terceiros para seu benefício. Tudo o que você precisa fazer é dizer “Siri, eu preciso relaxar” para iniciar seu aplicativo de meditação. Momentos únicos, capturas reais Capture seus melhores momentos e reviva-os sempre que quiser com a câmera traseira de 12 Mpx. Além disso, o dispositivo possui uma câmera frontal de 7 Mpx para que você possa tirar selfies divertidas ou fazer videochamadas. Mais para ver Com sua tela IPS de 6.1 "", desfrute de cores intensas e maior clareza em todo o seu conteúdo. Reconhecimento facial para maior segurança Aproxime o dispositivo do seu rosto para desbloqueá-lo instantaneamente. Sua tecnologia precisa de reconhecimento facial garante acesso rápido e seguro ao dispositivo.  Bateria o dia todo Sua bateria 2942 mAh se adapta ao seu estilo de vida e lhe garante energia durante um dia inteiro com uma única carga. Grande capacidade de armazenamento Com sua memória interna de 64 GB  você sempre terá espaço para armazenar arquivos e documentos importantes. Além disso, você poderá salvar filmes, séries e vídeos para reproduzi-los sempre que quiser offline.",1,19.5 - 9,,,,60 Hz,Não,,,,,,,,,,,,,,,,,,,,,,,,,,
0,iPhone 12 128 Gb Branco + Brinde (novo Lacrado) 1 Ano Garant,https://produto.mercadolivre.com.br/MLB-1800840229-iphone-12-128-gb-branco-brinde-novo-lacrado-1-ano-garant-_JM,Apple,iPhone,iPhone 12,128 GB,4 GB,Não,128 GB,iOS,14,14,MIUI 12,,12 Mpx,2160 px x 3840 px,12 Mpx,Sim,2,12 Mpx/12 Mpx,f 2.4/f 1.6,1,3840 px x 2160 px,f 2.2,Não,2x,5x,Não,Sim,Sim,Não,Sim,IP68,Apple A14 Bionic,,6,,Sim,Sim,Sim,Sim,Sim,Não,1,Nano-SIM,Sim,Outubro,2020,,"6.1 """,Full HD+,1170 px x 2532 px,OLED,DotDisplay,460 ppi,625 cd/m²,Sim,,Íon de lítio,Sim,Sim,Não,240 h,,,Sim,146.7 mm x 71.5 mm x 7.4 mm,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,,Não,,Sim,Desbloqueado,,"Câmera dupla e mais detalhes Suas 2 câmeras traseiras de 12 Mpx/12 Mpx permitirão que você tire fotos mais detalhadas e obtenha efeitos únicos, como a famosa profundidade rasa do modo retrato de campo. Além disso, o dispositivo possui uma câmera frontal de 12 Mpx para que você possa tirar selfies divertidas ou fazer videochamadas. Mais para ver Com sua tela OLED de 6.1 "", desfrute de cores intensas e maior clareza em todo o seu conteúdo. Melhor desempenho Sua memória RAM de 4 GB permite que seu smartphone funcione sem problemas e sem demora ao executar várias tarefas, jogar jogos ou navegar. Reconhecimento facial para maior segurança Aproxime o dispositivo do seu rosto para desbloqueá-lo instantaneamente. Sua tecnologia precisa de reconhecimento facial garante acesso rápido e seguro ao dispositivo.  Grande capacidade de armazenamento Com sua memória interna de 128 GB você poderá armazenar arquivos e aplicativos grandes sem ter que carregá-los para a nuvem e aproveitar seus momentos off-line para desfrutá-los ao máximo.",1,19.5 - 9,,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,iPhone XR Red 64gb Edition Limited,https://produto.mercadolivre.com.br/MLB-1475885355-iphone-xr-red-64gb-edition-limited-_JM,Apple,iPhone,iPhone X,64 GB,3 GB,Não,,iOS,12,14,,,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,1,12 Mpx/12 Mpx,f 1.8,1,1920 px x 1080 px,f 2.2,Não,,5x,Não,Sim,Sim,Não,Sim,IP67,Apple A12 Bionic,"2x2.5 GHz Vortex,4x1.6 GHz Tempest",6,2.5 GHz,Sim,Sim,Sim,Sim,Sim,Não,1,Nano-SIM,Sim,Outubro,2018,194 g,"6.1 """,,828 px x 1792 px,IPS,,326 ppi,625 cd/m²,Sim,2942 mAh,Íon de lítio,,Sim,Não,,25 h,Não,Sim,150.9 mm x 75.7 mm x 8.3 mm,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,,"Celular em perfeitas condições, sem nenhum detalhe, funcionando tudo perfeitamente, todos os acessórios originais, aparelho com caixa, nota fiscal e 2 capinhas.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Smartphone iPhone Apple 6s Plus Space Grey 32gb Novo Lacrado,https://produto.mercadolivre.com.br/MLB-1794766491-smartphone-iphone-apple-6s-plus-space-grey-32gb-novo-lacrado-_JM,Apple,iPhone,iPhone 6s Plus,32 GB,2 GB,Não,,iOS,9,14,0,0,12 Mpx,3840 px x 2160 px,5 Mpx,Sim,7477198,12 Mpx/12 Mpx,f 2.2,7477216,1280 px x 720 px,f 2.2,Não,,5x,Não,Não,,Não,Sim,IP67,Apple A9,2x1.84 GHz Twister,7199623,1.84 GHz,Sim,Sim,Sim,Sim,Sim,Não,2087812,Nano-SIM,Não,Setembro,128232,192 g,"5.5 """,Full HD+,1080 px x 1920 px,IPS,0,401 ppi,500 cd/m²,Sim,2750 mAh,Íon de lítio,,Sim,Não,384 h,24 h,Sim,Não,158.2 mm x 77.9 mm x 7.3 mm,4G/LTE,Lightning,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,,"PREZADOS CLIENTES, NÃO ENVIAMOS PARA OS ESTADOS DO AM/CE/MS/RN/RR/RO 1- PRODUTOS COM ESTOQUE PRÓPRIO, SERÁ ENVIADO NO MESMO DIA, DESDE QUE O PAGAMENTO SEJA CONFIRMADO ATE AS 14 HORAS...PRODUTOS COM ESTOQUE DO FORNECEDOR, ENVIO SERÁ EM ATÉ 10 DIAS, APÓS CONFIRMAÇÃO DO PAGAMENTO. PAGAMENTO EFETUADO EM BOLETO, PODE DEMORAR ATÉ 72H PARA LIBERAÇÃO. 2- NÃO COMERCIALIZAMOS PRODUTOS RECON. E FORA DA SUA EMBALAGEM ORIGINAL. 3- PRODUTOS LACRADOS E COM GARANTIA. 4- TODOS PRODUTOS POR NÓS ANUNCIADOS, ESTÃO EM SUA EMBALAGEM ORIGINAL E LACRADAS. 5- FATURAMOS SOMENTE PARA PESSOA FÍSICA. (PJ FAVOR CONSULTAR ANTES) Momentos únicos, capturas reais Capture seus melhores momentos e reviva-os sempre que quiser com a câmera traseira de 12 Mpx. Além disso, o dispositivo possui uma câmera frontal de 5 Mpx para que você possa tirar selfies divertidas ou fazer videochamadas. Mais para ver Com sua tela IPS de 5.5 "", desfrute de cores intensas e maior clareza em todo o seu conteúdo. Tudo o que você precisa Sua RAM 2 GB é exatamente o que você precisa para usar as funções mais importantes, como chamadas, enviar mensagens, navegar e executar aplicativos usados com freqüência, como redes sociais ou multimídia. Desbloqueio com um toque Graças ao sensor de impressão digital, você poderá acessar a seu telefone com segurança e desbloqueá-lo automaticamente com apenas um toque. Bateria o dia todo Sua bateria 2750 mAh se adapta ao seu estilo de vida e lhe garante energia durante um dia inteiro com uma única carga. O espaço que você precisa Com sua memória interna de 32 GB baixe seus aplicativos favoritos e salve todas as fotos e vídeos que desejar.",0,20 - 9,PowerVR GT7600,Não,0,,,Global,MV2V2,nenhum,0,Regular,Regular,0,Não,Não,0,Não,00,0,0,0,0,0,0,Não,,,,,,,
0,iPhone 6 16gb Usado Seminovo Dourado Excelente Trocafone,https://produto.mercadolivre.com.br/MLB-1780469308-iphone-6-16gb-usado-seminovo-dourado-excelente-trocafone-_JM,Apple,iPhone,6,16 GB,1 GB,Não,,iOS,8,,MIUI 12,MIUI 12,8 Mpx,1920 px x 1080 px,1.2 Mpx,Sim,,12 Mpx/12 Mpx,f 2.2,,1280 px x 720 px,,Não,,3x,Não,,Sim,Não,Sim,,Dual-Core 1.4 GHz,2x1.4 GHz Typhoon,2,1.4 GHz,Sim,Sim,Sim,,Sim,Não,1,Nano-SIM,Não,Setembro,,129 g,"4.7 """,,1334 x 750 pixels,IPS,,326 ppi,500 cd/m²,Sim,1810 mAh,Íon de lítio,,Sim,Não,240 h,14 h,Sim,,138.1 mm x 67 mm x 6.9 mm,4G/LTE,Lightning,Sim,,Sim,Sim,Sim,,Não,Não,Não,Sim,Desbloqueado,,"iPhone 6 16gb Usado Seminovo Dourado Excelente - com 90 dias de garantia Seminovo - Usado Condição do aparelho: Excelente Atenção: Produtos classificados como “Excelente"" aparelho com poucos sinais de uso, como leves riscos e arranhões quase imperceptíveis. Garantia Todos os aparelhos seminovos que comercializamos foram criteriosamente revisados e testados por nossa equipe de técnicos especializados. Oferecemos 90 dias de garantia para problemas técnicos - Produto original e com nota fiscal. - Aparelho desbloqueado para todas as operadoras - Produto resetado no padrão de fábrica. - Todos os aparelhos são homologados pela Anatel (o IMEI foi verificado e garantimos a originalidade e procedência legal). - A tela do aparelho não está trincada ou rachada - Por serem seminovos, os aparelhos não são resistentes a água. - O aparelho pode apresentar leves riscos, quase imperceptíveis. - O aparelho NÃO acompanha nenhum acessório, tais quais: Carregador, Fone de Ouvido, entre outros. Conteúdo da embalagem: - 1 iPhone 6 16gb Usado Seminovo Dourado Excelente  - Nota fiscal - Manual do usuário QUEM SOMOS Trocafone Compramos e vendemos celulares e tablets seminovos. Nascemos de uma necessidade real das pessoas e nosso objetivo é propagar uma cultura que preze pelo padrão de consumo sustentável e por uma forma de viver mais consciente, além de permitir que, a cada dia, um número maior de pessoas possa ter acesso à tecnologia. Confira nosso catálogo de produtos no link abaixo: https://www.mercadolivre.com.br/perfil/TROCAFONECOMERCIALIZACAO",,,,,,60 Hz,Não,,,,,,,,,,,,,,,,,,,,Não,,,,,,
